payment_method_id,student_id,subscription_id,payment_method_type,description,currency_price,usd_price,currency,payment_date
1,1,1,RECURRENT,"PSE BANCOLOMBIA",80.43,67.42,CNY,2020-12-20
2,2,2,NOT_RECURRENT,"PSE BANCOLOMBIA",54.53,76.4,SEK,2021-05-06
3,3,3,RECURRENT,"PSE NEQUI",40.44,95.26,SEK,2021-06-27
4,4,4,RECURRENT,"PSE BANCOLOMBIA",69.72,37.03,EUR,2020-10-11
5,5,5,RECURRENT,"PSE NEQUI",99.56,48.06,PLN,2021-04-29
6,6,6,RECURRENT,"PSE BANCOLOMBIA",70.19,73.72,MGA,2020-10-15
7,7,7,RECURRENT,"PSE BANCOLOMBIA",71.32,51.51,PHP,2021-08-07
8,8,8,NOT_RECURRENT,"CREDIT CARD COLPATRIA",65.49,57.99,SEK,2021-02-19
9,9,9,RECURRENT,"PSE BANCOLOMBIA",63.2,46.32,RUB,2021-07-27
10,10,10,NOT_RECURRENT,"CREDIT CARD COLPATRIA",88.15,53.36,PHP,2020-07-14
11,11,11,RECURRENT,"PSE BANCOLOMBIA",33.54,86.94,CNY,2021-06-10
12,12,12,NOT_RECURRENT,"CREDIT CARD COLPATRIA",46.3,89.83,USD,2020-12-12
13,13,13,NOT_RECURRENT,"PSE NEQUI",79.59,77.33,PHP,2021-09-09
14,14,14,NOT_RECURRENT,"CREDIT CARD COLPATRIA",89.79,40.17,WST,2021-07-24
15,15,15,NOT_RECURRENT,"PSE NEQUI",78.19,95.0,CNY,2021-07-17
16,16,16,NOT_RECURRENT,"CREDIT CARD COLPATRIA",75.05,66.74,CNY,2021-01-15
17,17,17,NOT_RECURRENT,"PSE BANCOLOMBIA",89.39,62.9,EUR,2021-05-28
18,18,18,NOT_RECURRENT,"CREDIT CARD COLPATRIA",57.7,67.22,CNY,2021-03-11
19,19,19,RECURRENT,"PSE NEQUI",52.48,81.25,THB,2021-07-30
20,20,20,RECURRENT,"PSE BANCOLOMBIA",64.7,50.45,DOP,2021-07-20
